Gene_human,Order of runs (priority),Exclude due to N term >160AA,Prioritization Notes,Class or type
NMUR2,#2,,#2,NeuromedinR
NPFFR1,#2,,#2,Neuropeptide receptor
NPFFR2,#2,,#2,Neuropeptide receptor
NPSR1,#2,,#2,
NPY1R,#2,,#2,NPY R
NPY2R,#2,,#2,NPY R
NPY4R,#2,,#2,NPY R
NPY5R,#2,,#2,NPY R
NPY6R,#2,,#2,NPY R
NPBWR1,#2,,#2,NPBWR
NPBWR2,#2,,#2,NPBWR
NTSR1,#2,,#2,Neurotensin
NTSR2,#2,,#2,Neurotensin
OR1A1,Exclude,,Exclude,Olfactory
OR1A2,Exclude,,Exclude,Olfactory
OR1B1,Exclude,,Exclude,Olfactory
OR1C1,Exclude,,Exclude,Olfactory
OR1D2,Exclude,,Exclude,Olfactory
OR1D4,Exclude,,Exclude,Olfactory
OR1D5,Exclude,,Exclude,Olfactory
OR1E1,Exclude,,Exclude,Olfactory
OR1E2,Exclude,,Exclude,Olfactory
OR1E3,Exclude,,Exclude,Olfactory
OR1F1,Exclude,,Exclude,Olfactory
OR1F12P,Exclude,,Exclude,Olfactory
OR1F2P,Exclude,,Exclude,Olfactory
OR1G1,Exclude,,Exclude,Olfactory
OR1I1,Exclude,,Exclude,Olfactory
OR1J1,Exclude,,Exclude,Olfactory
OR1J2,Exclude,,Exclude,Olfactory
OR1J4,Exclude,,Exclude,Olfactory
OR1K1,Exclude,,Exclude,Olfactory
OR1L1,Exclude,,Exclude,Olfactory
OR1L3,Exclude,,Exclude,Olfactory
OR1L4,Exclude,,Exclude,Olfactory
OR1L6,Exclude,,Exclude,Olfactory
OR1L8,Exclude,,Exclude,Olfactory
OR1M1,Exclude,,Exclude,Olfactory
OR1N1,Exclude,,Exclude,Olfactory
OR1N2,Exclude,,Exclude,Olfactory
OR1P1,Exclude,,Exclude,Olfactory
OR1Q1,Exclude,,Exclude,Olfactory
OR1R1P,Exclude,,Exclude,Olfactory
OR1S1,Exclude,,Exclude,Olfactory
OR1S2,Exclude,,Exclude,Olfactory
OR10A2,Exclude,,Exclude,Olfactory
OR10A3,Exclude,,Exclude,Olfactory
OR10A4,Exclude,,Exclude,Olfactory
OR10A5,Exclude,,Exclude,Olfactory
OR10A6,Exclude,,Exclude,Olfactory
OR10A7,Exclude,,Exclude,Olfactory
OR10AC1,Exclude,,Exclude,Olfactory
OR10AD1,Exclude,,Exclude,Olfactory
OR10AG1,Exclude,,Exclude,Olfactory
OR10C1,Exclude,,Exclude,Olfactory
OR10D3,Exclude,,Exclude,Olfactory
OR10D4P,Exclude,,Exclude,Olfactory
OR10G2,Exclude,,Exclude,Olfactory
OR10G3,Exclude,,Exclude,Olfactory
OR10G4,Exclude,,Exclude,Olfactory
OR10G6,Exclude,,Exclude,Olfactory
OR10G7,Exclude,,Exclude,Olfactory
OR10G8,Exclude,,Exclude,Olfactory
OR10G9,Exclude,,Exclude,Olfactory
OR10H1,Exclude,,Exclude,Olfactory
OR10H2,Exclude,,Exclude,Olfactory
OR10H3,Exclude,,Exclude,Olfactory
OR10H4,Exclude,,Exclude,Olfactory
OR10H5,Exclude,,Exclude,Olfactory
OR10J1,Exclude,,Exclude,Olfactory
OR10J3,Exclude,,Exclude,Olfactory
OR10J4,Exclude,,Exclude,Olfactory
OR10J5,Exclude,,Exclude,Olfactory
OR10J6P,Exclude,,Exclude,Olfactory
OR10K1,Exclude,,Exclude,Olfactory
OR10K2,Exclude,,Exclude,Olfactory
OR10P1,Exclude,,Exclude,Olfactory
OR10Q1,Exclude,,Exclude,Olfactory
OR10R2,Exclude,,Exclude,Olfactory
OR10S1,Exclude,,Exclude,Olfactory
OR10T2,Exclude,,Exclude,Olfactory
OR10V1,Exclude,,Exclude,Olfactory
OR10W1,Exclude,,Exclude,Olfactory
OR10X1,Exclude,,Exclude,Olfactory
OR10Z1,Exclude,,Exclude,Olfactory
OR11A1,Exclude,,Exclude,Olfactory
OR11G2,Exclude,,Exclude,Olfactory
OR11H1,Exclude,,Exclude,Olfactory
OR11H12,Exclude,,Exclude,Olfactory
OR11H2,Exclude,,Exclude,Olfactory
OR11H4,Exclude,,Exclude,Olfactory
OR11H6,Exclude,,Exclude,Olfactory
OR11H7,Exclude,,Exclude,Olfactory
OR11L1,Exclude,,Exclude,Olfactory
OR12D1,Exclude,,Exclude,Olfactory
OR12D2,Exclude,,Exclude,Olfactory
