rec,lig,act_type,lig_nt,lig_ct,potency_ranks,citation,pAct
hOPRD,hPDYNx175x179,,,,,,
hAPJ,hELAx23x54,Agonist,,,[Pyr<sup>1</sup>]apelin-13 &ge; apelin-13 > apelin-36,,9.29|8.7
hAGTR1,hANGTx26x32,Full agonist,,,,,
hNK2R,hTKN1x72x107,,,NH2,neurokinin A > neurokinin B >> substance P,,
hCALCR,hADMLx95x146,Full agonist,,NH2,"calcitonin &ge; amylin, &alpha;-CGRP, &beta;-CGRP > adrenomedullin, adrenomedullin 2/intermedin",,9.2
hPTH2R,hPTHRx37x72,Full agonist,,,"TIP39, PTH >> PTHrP",,5.7
hMC4R,hCOLIx217x234,,,,"&beta;-MSH > &alpha;-MSH, ACTH > &gamma;-MSH",,
hNK1R,hTKN1x72x107,Full agonist,,NH2,substance P > neurokinin A > neurokinin B,,
hCCR5,hCCL16x24x120,Full agonist,,,,,
hOPRK,hPDYNx207x219,Full agonist,,,"big dynorphin, dynorphin A",,
hNPBW2,hNPWx33x55,Full agonist,,,neuropeptide W-23 > neuropeptide W-30 > neuropeptide B-29 > neuropeptide B-23,,9.6
hPKR2,hPROK1x20x105,Full agonist,,,prokineticin-2 > prokineticin-1 > prokineticin-2&beta;,,
hGNRHR,hGON1x24x33,Full agonist,,NH2,GnRH I > GnRH II,,10|8.6
hFZD1,hWNT3Ax19x352,,,,,,
hMC4R,hCOLIx138x150,Full agonist,acet,NH2,"&beta;-MSH > &alpha;-MSH, ACTH > &gamma;-MSH",,
hACKR2,hCCL13x17x98,,,,"CCL2, CCL3, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL14, CCL17, CCL22",,
hNK2R,hTKN1x98x107,Full agonist,,NH2,neurokinin A > neurokinin B >> substance P,,
hSSR2,hSMSx89x116,Full agonist,,,,,
hUR2R,hUTS2x114x124,Full agonist,,,,,8.6
hPTH1R,hPTHYx32x115,,,,PTH = PTHrP,,
hNPY2R,hPAHOx30x65,,,NH2,peptide YY = peptide YY(3-36) = neuropeptide Y = neuropeptide Y(3-36) >> pancreatic polypeptide,,
hNPFF2,hNPFFx100x110,,,,,,
hFZD6,hWNT3Ax19x352,Agonist,,,,,
hC5AR1,hCO5x678x751,Full agonist,,,"C5a, C5a des-Arg > C3a",,
hNK1R,hTKN1x98x107,Full agonist,,NH2,substance P > neurokinin A > neurokinin B,,
hNPFF1,hNPFFx66x76,,,NH2,"RFRP-1 > RFRP-3 > FMRFneuropeptide FF > neuropeptide AF > neuropeptide SF, QRFP43 (43RFa), PrRP-31",,
hACTHR,hCOLIx138x176,,acet,,ACTH,,
hOXYR,hNEU2x20x28,Partial agonist,,NH2,oxytocin > vasopressin,,
hC5AR1,hCO5x678x750,Partial agonist,,,"C5a, C5a des-Arg > C3a",,
hFPR3,hHUNINx1x24,Full agonist,,,,,8.95
hEDNRA,hEDN2x49x69,Full agonist,,,endothelin-1 = endothelin-2 > endothelin-3,,8.2
hC5AR1,hRS19x2x145,Full agonist,,,"C5a, C5a des-Arg > C3a",,
hCCR1,hCCL7x24x99,Full agonist,,,,,8.1
hCCR4,hCCL22x25x93,Full agonist,,,,,9.2
hOXYR,hNEU1x20x28,Full agonist,,NH2,oxytocin > vasopressin,,
hUR2R,hUTS2Bx112x119,Full agonist,,,,,9.6|8.6
hACKR4,hCCL19x22x98,Agonist,,,,,8.4
hOX1R,hOREXx34x66,Full agonist,,NH2,"orexin-A > orexin-B (for Ca<sup>2+</sup> elevation, unclear/variable for other responses)",,
hNTR1,hNEUTx144x148,,,,neurotensin > neuromedin N,,
hVIPR1,hPACAx132x158,Agonist,,NH2,"VIP, PACAP-27, PACAP-38 >> GHRH, PHI (pig), secretin",,7.6|8.9|8.2|9.9|7.8|8.5
hOPRK,hPDYNx207x223,Full agonist,,,"big dynorphin, dynorphin A",,
hNPY2R,hNPYx29x64,Full agonist|Agonist,,NH2,peptide YY = peptide YY(3-36) = neuropeptide Y = neuropeptide Y(3-36) >> pancreatic polypeptide,,
hSSR2,hSMSx103x116,Full agonist,,,,,
hGASR,hGASTx79x92,Agonist,,NH2,"CCK-8, CCK-39, CCK-33, CCK-58 &ge; gastrin-17, desulfated cholecystokinin-8, CCK-4",,
hGLP2R,hGLUCx146x178,Full agonist,,,,,8.5
hCCR5,hCCL7x24x99,Antagonist,,,,,7.5
hPRLHR,hPRRPx23x53,Full agonist,,NH2,PrRP-20 = PrRP-31,,
hG37L1,hSAPx318x339,Agonist,,,,,8.3
hCCR5,hCCL2x24x99,Full agonist,,,,,7.5
hOPRD,hPDYNx207x223,Full agonist,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,7.4
hHRH4,hCCL16x24x120,Full agonist,,,,,8.1
hSSR3,hSMSx89x116,Full agonist,,,,,
hCCR5,hCCL11x24x97,Full agonist,,,,,7.7
hNPBW2,hNPBx25x53,Full agonist,,,neuropeptide W-23 > neuropeptide W-30 > neuropeptide B-29 > neuropeptide B-23,,9
hCCR1,hCCL4x24x92,Antagonist,,,,,
hOPRK,hPENKx100x104,,,,"big dynorphin, dynorphin A",,
hCCR3,hCCL5x24x91,Full agonist,,,,,
hCCR1,hCCL3x24x92,Full agonist,,,,,
hLGR4,hRSPO1x21x263,Full agonist,,,,,10.7
hGHSR,hGHRLx24x51,Full agonist,,,ghrelin = [des-Gln<sup>14</sup>]ghrelin,,8.15|9.47
hCRFR2,hCRFx154x194,Full agonist,,NH2,,,
